unit,trip_id,toll_loc_id_start,toll_loc_id_end,toll_loc_name_start,toll_loc_name_end,toll_system_type,entry_time,exit_time,tag_cost,cash_cost,license_plate_cost
1000,1000_2,130003200,130000000,247 - Harrisburg East,30 - Warrendale,ticketSystem1,2023-12-07T06:08:13Z,2023-12-07T06:08:13Z,29.1,,59.0
1000,1000_2,128006000,128004200,239 - Eastgate,180 - Akron,ticketSystem1,2023-12-06T23:36:21Z,2023-12-06T23:36:21Z,3.75,5.5,
1000,1000_2,130003200,130000000,247 - Harrisburg East,30 - Warrendale,ticketSystem1,2023-12-07T06:08:13Z,2023-12-07T06:08:13Z,29.1,,59.0
1000,1000_3,124004000,124003000,217 Eastern Terminal,182 Topeka: K-4 183 Topeka: I-70,ticketSystem1,2023-12-08T20:38:51Z,2023-12-08T20:38:51Z,2.6,4.0,
1000,1000_3,124003000,124003201,182 Topeka: K-4 183 Topeka: I-70,"197 Lecompton, Lawrence: K-10",ticketSystem1,2023-12-08T21:05:54Z,2023-12-08T21:05:54Z,0.85,1.5,
1000,1000_3,124003200,124003000,"197 Lecompton, Lawrence: K-10",182 Topeka: K-4 183 Topeka: I-70,ticketSystem1,2023-12-08T21:29:35Z,2023-12-08T21:29:35Z,0.85,1.5,
1000,1000_3,124003000,124003201,182 Topeka: K-4 183 Topeka: I-70,"197 Lecompton, Lawrence: K-10",ticketSystem1,2023-12-08T21:56:37Z,2023-12-08T21:56:37Z,0.85,1.5,
1000,1000_3,124003200,124003000,"197 Lecompton, Lawrence: K-10",182 Topeka: K-4 183 Topeka: I-70,ticketSystem1,2023-12-08T22:20:13Z,2023-12-08T22:20:13Z,0.85,1.5,
2000,2000_6,127000402,127000000,17 - Newburgh I-84,15 - Woodbury Toll,ticketSystem1,2023-12-11T11:48:18Z,2023-12-11T11:48:18Z,1.33,,1.72
2000,2000_6,126005400,126002800,18W - Geo Washington Br/US 46/I-80,12 - Carteret/Rahway,ticketSystem1,2023-12-11T13:23:51Z,2023-12-11T13:23:51Z,8.81,8.85,
2000,2000_6,126002800,126003200,12 - Carteret/Rahway,13A - Newark Aprt/Elizabeth Seaport,ticketSystem1,2023-12-11T13:53:09Z,2023-12-11T13:53:09Z,1.76,1.8,
2000,2000_6,126003201,126000600,13A - Newark Aprt/Elizabeth Seaport,4 - Camden/Philadelphia/NJ Aquarium,ticketSystem1,2023-12-11T13:58:41Z,2023-12-11T13:58:41Z,9.4,9.45,
2000,2000_6,,,,,barrier,,,5.0,5.0,
2000,2000_6,126000200,126003200,2 - Swedesboro/Chester,13A - Newark Aprt/Elizabeth Seaport,ticketSystem1,2023-12-10T21:14:13Z,2023-12-10T21:14:13Z,11.62,11.65,
2000,2000_6,127000000,127000402,15 - Woodbury Toll,17 - Newburgh I-84,ticketSystem1,2023-12-11T11:23:46Z,2023-12-11T11:23:46Z,1.33,,1.72
2000,2000_6,126005400,126002800,18W - Geo Washington Br/US 46/I-80,12 - Carteret/Rahway,ticketSystem1,2023-12-11T13:23:51Z,2023-12-11T13:23:51Z,8.81,8.85,
2000,2000_6,126002800,126003200,12 - Carteret/Rahway,13A - Newark Aprt/Elizabeth Seaport,ticketSystem1,2023-12-11T13:53:09Z,2023-12-11T13:53:09Z,1.76,1.8,
2000,2000_6,126003201,126000600,13A - Newark Aprt/Elizabeth Seaport,4 - Camden/Philadelphia/NJ Aquarium,ticketSystem1,2023-12-11T13:58:41Z,2023-12-11T13:58:41Z,9.4,9.45,
2000,2000_6,,,,,barrier,,,5.0,5.0,
2000,2000_6,126000200,126003200,2 - Swedesboro/Chester,13A - Newark Aprt/Elizabeth Seaport,ticketSystem1,2023-12-10T21:14:13Z,2023-12-10T21:14:13Z,11.62,11.65,
2000,2000_4,,,,,barrier,,,3.0,,6.0
2000,2000_4,,,,,barrier,,,0.49,,1.49
