latitude,longitude,timestamp
31.13662,-81.5801,2023-12-11T21:58:42Z
31.13678,-81.58042,2023-12-11T21:58:44Z
31.13708,-81.58125,2023-12-11T21:58:49Z
31.13716,-81.58146,2023-12-11T21:58:50Z
31.13716,-81.58146,2023-12-11T21:58:50Z
31.13784,-81.58108,2023-12-11T21:58:55Z
31.13791,-81.58104,2023-12-11T21:58:56Z
31.13856,-81.58067,2023-12-11T21:59:00Z
31.13884,-81.58054,2023-12-11T21:59:02Z
31.1389,-81.58051,2023-12-11T21:59:03Z
31.13905,-81.58043,2023-12-11T21:59:04Z
31.13921,-81.58034,2023-12-11T21:59:05Z
31.13927,-81.58023,2023-12-11T21:59:06Z
31.13947,-81.58015,2023-12-11T21:59:07Z
31.13947,-81.58015,2023-12-11T21:59:07Z
31.13953,-81.58003,2023-12-11T21:59:08Z
31.13957,-81.57985,2023-12-11T21:59:09Z
31.13913,-81.5788,2023-12-11T21:59:16Z
31.13882,-81.57804,2023-12-11T21:59:21Z
31.13882,-81.57804,2023-12-11T21:59:21Z
31.13862,-81.57771,2023-12-11T21:59:23Z
31.13846,-81.5775,2023-12-11T21:59:25Z
31.13835,-81.57738,2023-12-11T21:59:26Z
31.13824,-81.57729,2023-12-11T21:59:26Z
31.1381,-81.57721,2023-12-11T21:59:28Z
31.13798,-81.57715,2023-12-11T21:59:28Z
31.13785,-81.5771,2023-12-11T21:59:29Z
31.13771,-81.57707,2023-12-11T21:59:30Z
31.13759,-81.57707,2023-12-11T21:59:31Z
31.1373,-81.57706,2023-12-11T21:59:33Z
31.13699,-81.57707,2023-12-11T21:59:35Z
31.13656,-81.57708,2023-12-11T21:59:38Z
31.13599,-81.57709,2023-12-11T21:59:42Z
31.13558,-81.57709,2023-12-11T21:59:44Z
31.13543,-81.5771,2023-12-11T21:59:45Z
31.13528,-81.57713,2023-12-11T21:59:46Z
31.13511,-81.57717,2023-12-11T21:59:48Z
31.13488,-81.57722,2023-12-11T21:59:49Z
31.13469,-81.5773,2023-12-11T21:59:51Z
31.13451,-81.57738,2023-12-11T21:59:52Z
31.13434,-81.57748,2023-12-11T21:59:53Z
31.13424,-81.57754,2023-12-11T21:59:54Z
31.13373,-81.57786,2023-12-11T21:59:58Z
31.13288,-81.57839,2023-12-11T22:00:04Z
31.13176,-81.57908,2023-12-11T22:00:13Z
31.13137,-81.57933,2023-12-11T22:00:16Z
31.12987,-81.58016,2023-12-11T22:00:27Z
31.11922,-81.58698,2023-12-11T22:01:48Z
31.11856,-81.58741,2023-12-11T22:01:53Z
31.11808,-81.58772,2023-12-11T22:01:56Z
31.11794,-81.58781,2023-12-11T22:01:57Z
31.11712,-81.58832,2023-12-11T22:02:04Z
31.1165,-81.58872,2023-12-11T22:02:08Z
31.1084,-81.59391,2023-12-11T22:03:10Z
31.10717,-81.59467,2023-12-11T22:03:19Z
31.10717,-81.59467,2023-12-11T22:03:19Z
31.10264,-81.5976,2023-12-11T22:03:54Z
31.09482,-81.60261,2023-12-11T22:04:53Z
31.09467,-81.6027,2023-12-11T22:04:54Z
31.09268,-81.60407,2023-12-11T22:05:10Z
31.09237,-81.60431,2023-12-11T22:05:12Z
31.0908,-81.60549,2023-12-11T22:05:25Z
